date,handoff_type,new_participants,departed_participants,new_count,departed_count,time_gap_days,event_subject,event_type,confidence,description,handoff_id
2023-07-27 15:18:41,gap_resumption,"['reese.anderson@consultingco.com', 'terry.palmer@consultingco.com', 'sage.harris@consultingco.com', 'charlie.brooks@consultingco.com']",['hayden.evans@consultingco.com'],4,1,187,Re: ConsultingCo|StartupCo-New Scope,email,1.0,4 new participant(s) after 187-day gap,25
2023-09-04 16:25:43,gap_resumption,['avery.young@consultingco.com'],"['terry.palmer@consultingco.com', 'jamie.adams@startupco.com', 'charlie.brooks@consultingco.com']",1,3,39,Contact - New Scope Proposal,email,0.43333333333333335,1 new participant(s) after 39-day gap,26
2023-09-15 10:56:15,team_expansion,"['terry.palmer@consultingco.com', 'taylor.parker@consultingco.com', 'indigo.davis@consultingco.com']","['reese.anderson@consultingco.com', 'avery.young@consultingco.com', 'sage.harris@consultingco.com']",3,3,10,StartupCo Social Media,email,0.6,Team expanded by 3 people,27
2023-10-05 17:16:15,gap_resumption,"['reese.anderson@consultingco.com', 'sage.harris@consultingco.com']","['taylor.parker@consultingco.com', 'indigo.davis@consultingco.com']",2,2,20,Your opinion is important to us!,email,0.4444444444444444,2 new participant(s) after 20-day gap,28
2024-06-07 20:45:00,departure,[],['sage.harris@consultingco.com'],0,1,241,Terry Palmer x Jamie Adams,meeting,0.3333333333333333,1 participant(s) departed,29
2024-06-12 15:30:00,team_expansion,"['jamie.walker@consultingco.com', 'taylor.parker@consultingco.com']",['jamie.adams@startupco.com'],2,1,4,StartupCo interactive brand identity discuss,meeting,0.4,Team expanded by 2 people,30
2025-02-08 02:00:55,gap_resumption,"['elarabyferris@client7.com', 'jamie.adams@startupco.com']","['jamie.walker@consultingco.com', 'taylor.parker@consultingco.com']",2,2,239,Re: Consumer data internship,email,1.0,2 new participant(s) after 239-day gap,31
2025-07-06 16:30:00,departure,[],['elarabyferris@client7.com'],0,1,148,Terry Palmer x Jamie Adams,meeting,0.3333333333333333,1 participant(s) departed,32
2025-09-23 19:00:00,gap_resumption,['faroukyn@partnerorg.org'],[],1,0,19,Terry Palmer x Naila x Jamie Adams,meeting,0.21111111111111108,1 new participant(s) after 19-day gap,33
2026-01-11 21:30:00,departure,[],['faroukyn@partnerorg.org'],0,1,110,Terry Palmer x Jamie Adams,meeting,0.3333333333333333,1 participant(s) departed,34
2026-03-10 15:00:00,gap_resumption,"['jamie.walker@consultingco.com', 'arden.wilson@consultingco.com', 'taylor.parker@consultingco.com']",['jamie.adams@startupco.com'],3,1,57,StartupCo Interactive Brand Manual,meeting,1.0,3 new participant(s) after 57-day gap,35
2026-03-25 17:00:08,gap_resumption,"['quinn.baker@startupco.com', 'sage.harris@consultingco.com', 'jamie.adams@startupco.com']","['jamie.walker@consultingco.com', 'arden.wilson@consultingco.com', 'taylor.parker@consultingco.com']",3,3,15,StartupCo Online Brand Book - Next steps,email,0.5,3 new participant(s) after 15-day gap,36
2026-04-06 16:30:00,departure,[],"['quinn.baker@startupco.com', 'sage.harris@consultingco.com']",0,2,11,Terry Palmer x Jamie Adams,meeting,0.6666666666666666,2 participant(s) departed,37
