date,type,event_id,subject,participants,participant_count,email_count,duration_days,duration_hours,has_startupco
2022-09-21 15:50:05,email,email_thread_22,StartupCo-Product Demo,"['hayden.moore@consultingco.com', 'terry.garcia@consultingco.com', 'arden.scott@consultingco.com', 'terry.palmer@consultingco.com', 'bailey.brooks@consultingco.com', 'kelly.underwood@consultingco.com', 'gray.clark@consultingco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'taylor.parker@consultingco.com']",10,5.0,12.0,,
2022-09-29 18:30:00,meeting,1u893qmdmif8gmfcqusuuulhd5@calendar.example,StartupCo Brand Identity Checkpoint,"['arden.wilson@consultingco.com', 'terry.palmer@consultingco.com', 'gray.clark@consultingco.com', 'skylar.stone@consultingco.com', 'hicham@consultingco.com', 'taylor.parker@consultingco.com', 'indigo.walker@consultingco.com', 'parker.jackson@consultingco.com', 'terry.garcia@consultingco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'hayden.evans@consultingco.com', 'jules.gray@consultingco.com', 'lennon.quinn@consultingco.com', 'amina@consultingco.com']",15,,,0.5,True
2022-09-30 18:30:00,meeting,14fp4fbk8dmda7s2qi31qjni6o@calendar.example,StartupCo Checkpoint,"['terry.palmer@consultingco.com', 'oakley.brooks@consultingco.com', 'hayden.moore@consultingco.com', 'indigo.walker@consultingco.com']",4,,,1.0,True
2022-10-04 10:48:29,email,email_thread_21,StartupCo Positioning and Essence,"['oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'hayden.moore@consultingco.com', 'terry.palmer@consultingco.com']",4,9.0,1.0,,
2022-10-04 19:49:02,email,email_thread_20,StartupCo Manifesto for Brand Identity Presentation,"['hayden.moore@consultingco.com', 'terry.palmer@consultingco.com', 'hayden.evans@consultingco.com', 'indigo.webb@consultingco.com']",4,2.0,-1.0,,
2022-10-06 21:48:28,email,email_thread_19,StartupCo | Rebranding | Final,"['terry.garcia@consultingco.com', 'arden.scott@consultingco.com', 'terry.palmer@consultingco.com', 'jules.gray@consultingco.com', 'perry.scott@consultingco.com', 'hayden.evans@consultingco.com', 'skylar.stone@consultingco.com', 'indigo.webb@consultingco.com', 'kelly.underwood@consultingco.com', 'taylor.parker@consultingco.com', 'parker.jackson@consultingco.com']",11,6.0,0.0,,
2022-10-07 19:30:01,email,email_thread_18,StartupCo Brand Strategy Final (Keynote),"['oakley.brooks@consultingco.com', 'terry.palmer@consultingco.com']",2,3.0,4.0,,
2022-10-07 20:30:00,meeting,65qv4s9qtsiusp86tro26902qi@calendar.example,ConsultingCo | StartupCo- Brand Identity and Strategy Presentation,"['terry.palmer@consultingco.com', 'parker.jackson@consultingco.com', 'kelly.underwood@consultingco.com', 'elliott.evans@startupco.com', 'terry.garcia@consultingco.com', 'jamie.adams@startupco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'hayden.evans@consultingco.com', 'taylor.parker@consultingco.com', 'indigo.walker@consultingco.com', 'katy@startupco.com', 'mariel@startupco.com']",13,,,2.0,True
2022-10-07 20:31:11,email,email_thread_17,MP3 file,"['hayden.moore@consultingco.com', 'terry.garcia@consultingco.com', 'jamie.adams@startupco.com', 'jordan.lopez@consultingco.com', 'terry.palmer@consultingco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'taylor.parker@consultingco.com', 'parker.jackson@consultingco.com']",9,4.0,0.0,,
2022-10-19 20:30:00,meeting,29jrr6scmler69q5d20e6uaiit@calendar.example,ConsultingCo | StartupCo- Brand Identity Presentation,"['terry.palmer@consultingco.com', 'arden.wilson@consultingco.com', 'katy@startupco.com', 'kelly.underwood@consultingco.com', 'elliott.evans@startupco.com', 'jamie.adams@startupco.com', 'taylor.parker@consultingco.com', 'indigo.walker@consultingco.com', 'terry.garcia@consultingco.com', 'mariel@startupco.com', 'hayden.moore@consultingco.com', 'lennon.quinn@consultingco.com', 'oakley.brooks@consultingco.com', 'hayden.evans@consultingco.com', 'morgan.allen@startupco.com']",15,,,1.5,True
2022-11-02 20:30:00,meeting,2gpjdooaatldeme02pnbv3so4g@calendar.example,ConsultingCo | StartupCo - Brand Identity Presentation,"['terry.palmer@consultingco.com', 'arden.wilson@consultingco.com', 'katy@startupco.com', 'kelly.underwood@consultingco.com', 'elliott.evans@startupco.com', 'jamie.adams@startupco.com', 'taylor.parker@consultingco.com', 'indigo.walker@consultingco.com', 'terry.garcia@consultingco.com', 'mariel@startupco.com', 'lennon.quinn@consultingco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'hayden.evans@consultingco.com', 'sam.stone@startupco.com', 'morgan.allen@startupco.com']",16,,,1.5,True
2022-11-04 23:02:00,email,email_thread_15,MediaPlatform <> ConsultingCo,"['hayden.moore@consultingco.com', 'jamie.adams@startupco.com', 'terry.palmer@consultingco.com', 'drew.young@client14.com', 'rowan.garcia@client1.com', 'hollis.murray@consultingco.com', 'taylor.parker@consultingco.com']",7,21.0,18.0,,
2022-11-05 05:12:54,email,email_thread_16,Re: Branding/Naming & Logo Design Firm Recs?,"['jamie.adams@startupco.com', 'hayden.moore@consultingco.com', 'terry.palmer@consultingco.com', 'taylor.parker@consultingco.com']",4,6.0,0.0,,
2022-11-10 22:30:00,meeting,75ncmc1enc1s35n919a1j16t2s@calendar.example,StartupCo Brand Strategy,"['terry.palmer@consultingco.com', 'sam.stone@startupco.com', 'katy@startupco.com', 'kelly.underwood@consultingco.com', 'elliott.evans@startupco.com', 'jamie.adams@startupco.com', 'mariel@startupco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'hayden.evans@consultingco.com']",11,,,1.0,True
2022-11-10 23:29:24,email,email_thread_14,StartupCo Brand Strategy,"['sam.stone@startupco.com', 'hayden.moore@consultingco.com', 'jamie.adams@startupco.com', 'terry.palmer@consultingco.com', 'mariel@startupco.com', 'hayden.evans@consultingco.com', 'kelly.underwood@consultingco.com', 'elliott.evans@startupco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'katy@startupco.com']",11,1.0,0.0,,
2022-11-11 21:55:13,email,email_thread_13,StartupCo Messaging Architecture,"['sam.stone@startupco.com', 'jamie.adams@startupco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'indigo.walker@consultingco.com', 'katy@startupco.com']",6,4.0,16.0,,
2022-12-08 05:21:09,email,email_thread_12,Swag,"['terry.garcia@consultingco.com', 'hayden.evans@consultingco.com', 'kelly.underwood@consultingco.com', 'jamie.adams@startupco.com']",4,7.0,1.0,,
2023-01-04 19:02:43,email,email_thread_11,StartupCo-Scope,"['terry.palmer@consultingco.com', 'kelly.underwood@consultingco.com']",2,3.0,0.0,,
2023-01-19 23:30:00,meeting,274sc8u5adko1vckok666pel80@calendar.example,Terry Palmer // Jamie Adams,"['terry.palmer@consultingco.com', 'jamie.adams@startupco.com']",2,,,0.5,True
2023-01-20 01:19:32,email,email_thread_10,Small favor,"['jamie.adams@startupco.com', 'terry.garcia@consultingco.com', 'terry.palmer@consultingco.com', 'taylor.parker@consultingco.com']",4,7.0,0.0,,
2023-01-21 00:10:34,email,email_thread_9,Small Favor,"['hayden.evans@consultingco.com', 'jamie.adams@startupco.com']",2,4.0,2.0,,
2023-07-27 15:18:41,email,email_thread_7,Re: ConsultingCo|StartupCo-New Scope,"['reese.anderson@consultingco.com', 'jamie.adams@startupco.com', 'terry.palmer@consultingco.com', 'sage.harris@consultingco.com', 'charlie.brooks@consultingco.com']",5,22.0,40.0,,
2023-09-04 16:25:43,email,email_thread_6,Contact - New Scope Proposal,"['avery.young@consultingco.com', 'reese.anderson@consultingco.com', 'sage.harris@consultingco.com']",3,1.0,0.0,,
2023-09-15 10:56:15,email,email_thread_5,StartupCo Social Media,"['indigo.davis@consultingco.com', 'terry.palmer@consultingco.com', 'taylor.parker@consultingco.com']",3,10.0,3.0,,
2023-10-05 17:16:15,email,email_thread_4,Your opinion is important to us!,"['reese.anderson@consultingco.com', 'sage.harris@consultingco.com', 'terry.palmer@consultingco.com']",3,2.0,0.0,,
2023-10-10 08:43:10,email,email_thread_3,Your opinion is important to us!,"['terry.palmer@consultingco.com', 'sage.harris@consultingco.com', 'jamie.adams@startupco.com']",3,4.0,1.0,,
2024-06-07 20:45:00,meeting,5u4m0m0ljllv6i91umrtcqhune@calendar.example,Terry Palmer x Jamie Adams,"['jamie.adams@startupco.com', 'terry.palmer@consultingco.com']",2,,,0.5,True
2024-06-12 15:30:00,meeting,61a19nq5hlsi5859bo9eutue5c@calendar.example,StartupCo interactive brand identity discuss,"['taylor.parker@consultingco.com', 'jamie.walker@consultingco.com', 'terry.palmer@consultingco.com']",3,,,1.0,True
2024-06-13 15:25:51,email,email_thread_2,StartupCo interactive brand identity,"['jamie.walker@consultingco.com', 'terry.palmer@consultingco.com', 'taylor.parker@consultingco.com']",3,2.0,6.0,,
2025-02-08 02:00:55,email,email_thread_1,Re: Consumer data internship,"['terry.palmer@consultingco.com', 'elarabyferris@client7.com', 'jamie.adams@startupco.com']",3,2.0,0.0,,
2025-07-06 16:30:00,meeting,4kkm6rbv40mgpe1a0tqjidugbg@calendar.example,Terry Palmer x Jamie Adams,"['jamie.adams@startupco.com', 'terry.palmer@consultingco.com']",2,,,0.5,True
2025-09-03 19:30:00,meeting,2jhu0dc06ds828onnk5bji9ail@calendar.example,Terry Palmer x Jamie Adams,"['jamie.adams@startupco.com', 'terry.palmer@consultingco.com']",2,,,1.0,True
2025-09-23 19:00:00,meeting,6111slf6a27nblk116qt10kk3k@calendar.example,Terry Palmer x Naila x Jamie Adams,"['jamie.adams@startupco.com', 'terry.palmer@consultingco.com', 'faroukyn@partnerorg.org']",3,,,1.0,True
2026-01-11 21:30:00,meeting,1phcvf6fh1sppbi6voous0obhd@calendar.example,Terry Palmer x Jamie Adams,"['jamie.adams@startupco.com', 'terry.palmer@consultingco.com']",2,,,1.0,True
2026-03-10 15:00:00,meeting,3tu45t4uo3k94av831ggga749n@calendar.example,StartupCo Interactive Brand Manual,"['taylor.parker@consultingco.com', 'jamie.walker@consultingco.com', 'arden.wilson@consultingco.com', 'terry.palmer@consultingco.com']",4,,,0.5,True
2026-03-25 17:00:08,email,email_thread_0,StartupCo Online Brand Book - Next steps,"['quinn.baker@startupco.com', 'terry.palmer@consultingco.com', 'sage.harris@consultingco.com', 'jamie.adams@startupco.com']",4,7.0,28.0,,
2026-04-06 16:30:00,meeting,4008tm3offnd2mve2ribm3vmj4@calendar.example,Terry Palmer x Jamie Adams,"['jamie.adams@startupco.com', 'terry.palmer@consultingco.com']",2,,,0.5,True
